,GT,NN,NN_pred
0,0,0,0.7753375768661499
1,0,0,0.857695996761322
2,1,0,0.7329736948013306
3,0,0,0.7415896654129028
4,0,0,0.6654726266860962
5,1,0,0.7298929691314697
6,0,0,0.5118268132209778
7,1,0,0.5201681852340698
8,0,0,0.5610281825065613
9,0,0,0.7226282358169556
10,1,0,0.6423937082290649
11,0,0,0.6698023676872253
12,0,0,0.5738974809646606
13,1,0,0.6442928910255432
14,1,0,0.6821231245994568
15,1,0,0.7283845543861389
16,1,0,0.5453478097915649
17,0,0,0.5894902944564819
18,0,0,0.6064913272857666
19,0,0,0.6922309398651123
20,1,0,0.8876231908798218
21,1,0,0.5335217714309692
22,0,0,0.7002121210098267
23,1,0,0.8722211718559265
24,1,0,0.8173654675483704
25,0,0,0.5086626410484314
26,0,0,0.7194162607192993
27,1,0,0.505102813243866
28,0,0,0.7210698127746582
29,0,0,0.8294134736061096
30,1,0,0.8714568614959717
31,1,0,0.8032287955284119
32,1,0,0.785810112953186
33,0,0,0.5642713308334351
34,0,0,0.6939772963523865
35,0,0,0.5371782183647156
36,1,0,0.6490245461463928
37,0,0,0.5653004050254822
38,0,0,0.6750914454460144
39,0,0,0.6914259791374207
40,1,0,0.6541067361831665
41,0,0,0.6069252490997314
42,0,0,0.5380224585533142
43,1,0,0.9307516813278198
44,0,0,0.6850851774215698
45,1,0,0.950416624546051
46,0,0,0.7005951404571533
47,0,0,0.6935762166976929
48,0,0,0.6252925992012024
49,0,0,0.6113405823707581
50,0,0,0.5285604000091553
51,0,0,0.5117473602294922
52,0,0,0.73496013879776
53,1,0,0.7803687453269958
54,1,0,0.7429591417312622
55,1,0,0.7206704020500183
56,1,0,0.7316220998764038
57,0,0,0.709486722946167
58,1,0,0.6559412479400635
59,0,0,0.6315468549728394
60,1,0,0.6825727224349976
61,1,0,0.7703590989112854
62,1,0,0.5623459815979004
63,1,0,0.7105734944343567
64,0,0,0.5881507992744446
65,0,0,0.5463751554489136
66,1,0,0.9125588536262512
67,0,0,0.78086256980896
68,1,0,0.5441426634788513
69,1,0,0.7033775448799133
70,0,0,0.6478897333145142
71,1,0,0.6080151796340942
72,1,0,0.7585439085960388
73,1,0,0.6305132508277893
74,1,0,0.6333546042442322
75,1,0,0.7640782594680786
76,0,0,0.8209556937217712
